species,country,in_degree,out_degree,total_degree,in_strength,out_strength,total_strength,betweenness,eigen_centrality,in_degree_norm,out_degree_norm,total_degree_norm
Horses,Greece,29,23,52,155,72,227,141.38725770483057,0.29968497844477765,0.15025906735751296,0.11917098445595854,0.13471502590673576
Horses,Kuwait,36,16,52,233,84,317,90.002113145656807,0.41534821919289044,0.18652849740932642,0.08290155440414508,0.13471502590673576
Horses,Latvia,26,26,52,117,109,226,125.71979117196402,0.21045404075235052,0.13471502590673576,0.13471502590673576,0.13471502590673576
Horses,Peru,21,30,51,128,153,281,284.58514543490566,0.21671840827238736,0.10880829015544041,0.15544041450777202,0.13212435233160622
Horses,Lebanon,31,19,50,151,64,215,162.3560191827926,0.2647029010823897,0.16062176165803108,0.09844559585492228,0.12953367875647667
Horses,Lithuania,21,28,49,125,159,284,58.34136917311015,0.2386698149758694,0.10880829015544041,0.14507772020725387,0.12694300518134716
Horses,Estonia,20,28,48,95,98,193,92.35312260379101,0.1903788313632812,0.10362694300518134,0.14507772020725387,0.12435233160621761
Horses,Oman,30,18,48,134,76,210,294.5306639559595,0.2615950410340889,0.15544041450777202,0.09326424870466321,0.12435233160621761
Horses,Egypt,24,23,47,116,98,214,234.23032958948374,0.23265416374716524,0.12435233160621761,0.11917098445595854,0.12176165803108809
Horses,Philippines,24,23,47,94,42,136,417.40348916911466,0.17223545375900026,0.12435233160621761,0.11917098445595854,0.12176165803108809
Horses,Iceland,5,40,45,9,297,306,108.97768908042883,0.02047448903655506,0.025906735751295335,0.20725388601036268,0.11658031088082901
Horses,Kenya,22,23,45,77,62,139,586.2571861210366,0.08532437659454896,0.11398963730569948,0.11917098445595854,0.11658031088082901
Horses,Ghana,35,8,43,93,16,109,455.5686473014859,0.12831446637235833,0.18134715025906736,0.04145077720207254,0.11139896373056994
Horses,Indonesia,27,16,43,96,27,123,812.5126838287359,0.1669914058592026,0.13989637305699482,0.08290155440414508,0.11139896373056994
Horses,Pakistan,28,15,43,111,21,132,473.7616851488973,0.2182757882734144,0.14507772020725387,0.07772020725388601,0.11139896373056994
Horses,Iran (Islamic Republic of),21,21,42,108,41,149,256.6800245636453,0.2086683817419469,0.10880829015544041,0.10880829015544041,0.10880829015544041
Horses,Morocco,23,19,42,142,92,234,183.43364421679647,0.30318952452666187,0.11917098445595854,0.09844559585492228,0.10880829015544041
Horses,Colombia,22,19,41,178,113,291,54.64458226001779,0.28114778868749674,0.11398963730569948,0.09844559585492228,0.10621761658031088
Horses,Ethiopia,22,17,39,43,32,75,804.7174194388638,0.06283612431033561,0.11398963730569948,0.08808290155440414,0.10103626943005181
Horses,Panama,24,14,38,194,93,287,52.50122108182337,0.247417522229069,0.12435233160621761,0.07253886010362694,0.09844559585492228
Horses,Guatemala,22,15,37,181,110,291,223.99383930800045,0.24381076352875872,0.11398963730569948,0.07772020725388601,0.09585492227979274
Horses,Syrian Arab Republic,21,16,37,70,61,131,52.46858170162469,0.107162376902592,0.10880829015544041,0.08290155440414508,0.09585492227979274
Horses,Tunisia,15,22,37,65,68,133,118.09463521413869,0.13993799454318376,0.07772020725388601,0.11398963730569948,0.09585492227979274
Horses,Costa Rica,24,12,36,168,109,277,104.71996087506083,0.23723897428907506,0.12435233160621761,0.06217616580310881,0.09326424870466321
Horses,Ecuador,21,14,35,127,50,177,186.68790794525995,0.2096126544684537,0.10880829015544041,0.07253886010362694,0.09067357512953368
Horses,Nigeria,27,8,35,72,24,96,577.0386100269518,0.08926826502592936,0.13989637305699482,0.04145077720207254,0.09067357512953368
Horses,Venezuela (Bolivarian Republic of),23,12,35,106,51,157,233.11248259609005,0.18312454725124222,0.11917098445595854,0.06217616580310881,0.09067357512953368
Horses,Angola,21,13,34,62,16,78,578.8844703322811,0.07516865832789564,0.10880829015544041,0.06735751295336788,0.08808290155440414
Horses,Azerbaijan,23,11,34,81,47,128,51.982422548813894,0.13864459142634097,0.11917098445595854,0.05699481865284974,0.08808290155440414
Horses,"China, Taiwan Province of",21,13,34,87,25,112,402.914643161268,0.19164855628891633,0.10880829015544041,0.06735751295336788,0.08808290155440414
Horses,Kyrgyzstan,22,12,34,81,50,131,86.14033365735476,0.11880768674469336,0.11398963730569948,0.06217616580310881,0.08808290155440414
Horses,Mongolia,26,7,33,76,24,100,131.56210538305857,0.11599395629813312,0.13471502590673576,0.03626943005181347,0.08549222797927461
Horses,Niger,10,22,32,28,62,90,211.28156955429935,0.027112092447020456,0.05181347150259067,0.11398963730569948,0.08290155440414508
Horses,Uganda,15,17,32,42,35,77,474.73721256234904,0.03730205490668827,0.07772020725388601,0.08808290155440414,0.08290155440414508
Horses,Botswana,16,15,31,50,42,92,628.133288919178,0.048420936004937486,0.08290155440414508,0.07772020725388601,0.08031088082901554
Horses,Côte d'Ivoire,25,6,31,59,8,67,416.11685711735197,0.06841859576583077,0.12953367875647667,0.031088082901554404,0.08031088082901554
Horses,Cyprus,20,11,31,60,21,81,209.6212465162557,0.12398488237999734,0.10362694300518134,0.05699481865284974,0.08031088082901554
Horses,Mauritius,21,10,31,89,59,148,235.57185314032623,0.12765798362869304,0.10880829015544041,0.05181347150259067,0.08031088082901554
Horses,Bosnia and Herzegovina,21,9,30,92,13,105,150.5328094988851,0.15101972585017714,0.10880829015544041,0.046632124352331605,0.07772020725388601
Horses,Zimbabwe,17,13,30,66,72,138,120.87078841785396,0.04779990474867579,0.08808290155440414,0.06735751295336788,0.07772020725388601
